序號,案件名稱,最終違約金類型,案件類型數字
1,案件_1,"根據提供的判決書內容，這屬於**損害賠償性編號2**。

雖然判決書中涉及「逾期違約金」，且金額看似較高 (1,136萬元)，但法院最終將其裁定為568萬元，並考量了原告實際遭受的損害（343萬8,678元），以及被告違約的具體情狀（高程放樣錯誤導致的延誤）。法院並非單純地對被告進行懲罰，而是基於實際損害及違約責任，對違約金金額進行了酌減，最終判決金額與實際損害有著較為密切的關聯性。  法院的判決考慮了多種因素，並未單純以懲罰為目的。  因此，儘管初始的違約金條款看似懲罰性，但法院的最終裁決更接近損害賠償的性質。
",2
2,案件_2,"根據提供的法院判決書內容，最終判決結果顯示，沛鑫包裝科技股份有限公司（反訴原告）獲得新台幣16,147,275元之給付，並取得使用執照。此金額包含了泰亞營造股份有限公司（反訴被告）工程瑕疵扣款以及逾期違約金。法院明確指出，逾期違約金部分，考量到契約約定過高，依民法第252條減至相當數額（30,000,000元），但最終判決金額低於此數額，且與工程瑕疵扣款相加後得出最終金額。

雖然契約中提及「懲罰性違約金」，但法院並未全數支持此懲罰性違約金的請求，而是依法減至合理範圍內，並將其與其他實際損害賠償（工程瑕疵）一併計算。因此，最終的判決結果更接近**損害賠償性編號2**。  法院的判決是基於對雙方權利義務的衡量和法律規定，而非單純的懲罰。
",2
3,案件_3,"這份判決書內容屬於**損害賠償性編號2**。

雖然判決書中提及違約金，並且計算了相當高的金額（2,721,400元），但法院最終將違約金酌減至53萬元，並說明此金額為考量原告因被告履約與否之利益得失及一切主客觀情事後，基於公平原則所作出的決定。  法院的裁決並非以懲罰被告為目的，而是基於契約約定並考量實際損害後，對損害進行賠償的計算。  法院明確指出違約金條款是「損害賠償預定性質」，而非懲罰性違約金。  此外，法院也駁回了原告請求額外法定遲延利息的要求，進一步說明判決的著眼點在於賠償實際損失，而非額外懲罰。  雖然初始計算的違約金金額很高，但法院的最終裁決及理由更符合損害賠償的性質。
",2
4,案件_4,"本判決中涉及的金額計算方式，包含了工程款、追加工程款、保留款、借款、代墊款以及違約金等多項內容，並非單純的懲罰性或損害賠償性違約金。  然而，就判決中涉及的「逾期罰款」和「商譽損失賠償金」而言，法院認定其屬於違約金性質，但因金額過高，法院依民法第252條、第251條，以及最高法院相關判例，將其酌減至相當數額。  這顯示，雖然契約中最初約定的違約金可能具有懲罰性（超過損害的合理比例），但法院最終判決是基於對實際損害的考量而進行調整，使其更接近損害賠償的性質。

因此，考慮到法院的最終判決結果，選擇 **損害賠償性編號2** 更為貼切。  雖然過程中存在懲罰性違約金的約定，但最終判決結果是根據實際損失進行調整的。
",2
5,案件_5,"根據提供的判決書內容，案件爭議點在於工程保固保證金的返還。判決結果是判決被上訴人（國防部政治作戰局）應給付上訴人（鉅明營造股份有限公司）新台幣820萬2,273元，這是扣除保固期間瑕疵修復費用後的剩餘保證金。

這符合**損害賠償性編號2** 的特徵：

* **補償由違約行為所造成的實際損失。**:  判決書中明確指出，820萬2,273元是扣除瑕疵修復費用後剩下的保固保證金，旨在補償鉅明營造的實際損失。
* **金額與實際損失相符**:  判決經過計算，明確說明金額的來源和計算方式，與實際損失掛鉤。
* **設定目的是賠償由違約行為引起的實際損失，而非對違約方進行懲罰**: 判決的目的是解決保固保證金的返還問題，並非對國防部進行額外懲罰。

雖然判決書中提到「懲罰性違約金」，但那是針對履約保證金，而非本案爭議的保固保證金。  判決書明確區分了履約保證金和保固保證金的不同性質，並駁回了國防部將兩者混淆的抗辯。因此，本案判決的核心仍然是關於損害賠償，而非懲罰。

因此，本案最接近的分類是**損害賠償性編號2**。
",2
6,案件_6,"根據提供的判決書內容，此案件屬於**損害賠償性編號2**。

判決書中，法院計算了原告因遲延交貨和產品瑕疵應負擔的違約金，但最終金額是基於實際的遲延天數和瑕疵產品數量計算，並考量了民法第252條關於違約金過高的酌減規定，最終判決原告需支付的金額並非遠超過其實際損失的範圍。法院的計算方法是基於契約中約定的違約金計算方式，並非單純的懲罰，而是試圖量化原告違約行為造成的實際損失。  雖然契約中使用了「懲罰性違約金」的字眼，但法院的判決結果並未完全採用契約中約定的懲罰性違約金計算方式，而是進行了酌減和調整，使其更符合實際損害賠償的原則。因此，更接近損害賠償性的分類。
",2
7,案件_7,"根據判決書內容，法院認定甲約（原告與世盛間的契約）因借牌而無效，實際有效的契約是丙約（原告與韓世傑間的契約），而丙約並無違約金條款。法院判決被告韓世傑返還原告140萬7,000元，此金額是基於不當得利(民法第179條)，代表韓世傑已領取超出實際完成工程價值的款項。  這個金額是基於實際損失計算，而非懲罰。

因此，判決結果最接近**損害賠償性編號2**。  雖然判決書提及甲約中的違約金條款，但法院已認定該條款無效，且判決結果與該條款無關。  判決的金額是基於計算實際損失（不當得利）而得出的。
",2
8,案件_8,"根據提供的判決書內容，這屬於**損害賠償性編號2**。

判決書詳細審理了原告（承攬商）和被告（國立臺灣師範大學）之間的工程款糾紛，並逐條分析了原告的各種請求，例如已完成工程款、材料費、訂金、以及因契約終止而產生的損失。法院最終判決被告應支付原告部分款項及利息，這些款項金額與原告實際的工程進度、支出以及因契約終止所造成的直接損失相關，並非額外的罰款或懲罰性賠償。  雖然判決書中提及「逾期違約金」，但法院最後認定因契約在預定竣工日前已被終止，故此部分不予計算。  整體而言，法院的判決旨在補償原告的實際損失，而非對違約方進行懲罰。
",2
9,案件_9,"根據提供的判決書內容，這屬於**損害賠償性編號2**。

雖然判決書中涉及金額的計算和扣抵，以及違約方的違約行為導致的後續修復費用，但這些金額的計算都是基於實際損失的考量，並非單純的懲罰性罰款。法院根據契約條款，審理了工程款的支付、保證金的返還，以及因違約方施工瑕疵造成的損失計算，並最終將這些損失與違約方應得款項進行抵銷。  整個過程都是為了補償因違約行為造成的實際損失，而非額外懲罰。  雖然被上訴人提出的修復費用金額龐大，但法院在計算時也考慮了物價指數的調整以及瑕疵部分與整體工程的比例關係，力求計算的合理性。  這與懲罰性違約金的定義不符。
",2
10,案件_10,"根據提供的判決書內容，契約中關於「每逾期1日科罰總工程款3%」的條款被法院認定為**懲罰性違約金 (編號1)**。

判決書中明確指出：「兩造以桃園工程採購單注意事項所約定「進度需配合現場，每逾期1日科罰總工程款3%」之契約罰款，係指懲罰性違約金性質。」  法院採納了雙方對此條款性質的共識，並未將其視為損害賠償。  因此，即使判決書最終判決金額與實際損失有一定程度的關聯，但該逾期罰款條款本身的性質仍然被認定為懲罰性的。
",0
11,案件_11,"根據提供的判決書內容，此判決屬於**損害賠償性編號2**。

判決書中，法院詳細審理了雙方因工程契約糾紛而產生的損失，並基於實際損害，判決被告（空軍第六基地勤務大隊）應賠償原告（盛堂營造有限公司）新台幣2,339萬6,902元及利息。  這個金額是經過法院審理，考量工程進度、實際支出、重購工程價差等因素後，所判決的實際損失賠償，而非額外懲罰。  雖然金額看似巨大，但判決書中詳盡的計算過程說明了其與實際損失的關聯性。  此外，判決書也考量了原告的過失及其他因素進行了抵銷，更能說明其本質是損害賠償而非懲罰。


判決書中提及的違約金計算方式，雖然看起來像是懲罰性的，但法院最終並未以此計算賠償金額，而是基於實際損害進行審理，並未單純依據契約中的違約金條款判決。  因此，整體而言，更符合損害賠償的定義。
",2
12,案件_12,"根據提供的判決書內容，違約金部分應歸類為**損害賠償性編號2**。

理由如下：

* **契約明確約定違約金計算方式：**契約第14條第2項明確規定違約金計算方式為「每日實際工程費用之千分之三」，並以契約總價的5%為上限。此計算方式與實際損失（未付款項）直接相關，而非一個預設的固定懲罰金額。

* **違約金金額與實際損失有合理關聯：** 違約金的計算基於未支付的工程款，並設有上限，這符合損害賠償的原則，旨在補償因違約造成的實際經濟損失。雖然判決書中計算的違約金已達上限，但這並非因為其具有懲罰性質，而是因為實際遲延時間超過了上限計算範圍。

* **判決書的認定：** 判決書中法官明確指出，系爭契約關於違約金之約定屬於「賠償總額預定性之違約金」，而非懲罰性違約金。這進一步支持了將其歸類為損害賠償性的結論。


雖然違約金金額相對較高，但由於其計算方式與實際損失掛鉤，且有明確的上限，因此更接近損害賠償性違約金，而非懲罰性違約金。  懲罰性違約金通常會遠超過實際損失，且缺乏明確的計算標準。  本案違約金雖然達到上限，但上限本身是與實際損失相關的百分比，而非一個獨立於損失之外的懲罰數額。
",2
13,案件_13,"根據提供的判決書內容，此違約金應屬於**損害賠償性編號2**。

判決書中明確指出，契約約定違約金200萬元是作為「損害賠償總額」，而非懲罰性違約金。法院也基於此點，考量實際損害（2萬3,628元的分潤損失），將違約金酌減至15萬元。  雖然15萬元遠高於實際損失，但法院的判斷是基於「損害賠償總額」的性質，並考量了其他因素（例如，迪品工作室隱瞞簽約事實等），最終裁定此金額為合適的損害賠償，而非懲罰。  因此，儘管金額較高，但判決的邏輯更符合損害賠償的性質，而非懲罰性違約金。
",2
